material;descricao;categoria
31_000001299;BROCA CONICA AR  8,4 DIN-345 TWILL;Rotativas
31_000025817;BROCA MD ESCØ8,75x21xØ7,2x15x12x168MX460;Rotativas
31_000010197;BROCHA 20 BE 15/2 (HURTH-INFER);Brocha
31_000023342;BROCHA 40BC20/1;Brocha
31_000028539;BROCHA 50BC30/1;Brocha
31_000026531;BRUNIDOR B270 MU1 L7 3,5W R1,75 30L;Brunidores
31_000028769;CARACOL 15HE17/1;Caracol e Fell
31_000028725;CARACOL 17HE17/2;Caracol e Fell
31_000028724;CARACOL 17HE20/18;Caracol e Fell
31_000028484;CARACOL 20HE20/B3;Caracol e Fell
31_000028649;CARACOL 78HC127/1;Caracol e Fell
31_000028660;CARACOL 85HC127/12;Caracol e Fell
31_000025917;CHAVE TORX TORQUIMETRO 5680.100-01 T6;Acessórios de torno
31_000000315;DRESSADOR 8X30MM 0,60KLT 5D-7913;Dressadores
31_000001632;DRESSADOR CONGLOMERADO 7D-8510 CT;Dressadores
31_000018839;FRESA  ETM4040-10-TH Ø4,0xR1,0;Rotativas
31_000018836;FRESA  HSLB 2030-080 Ø3,0xR1,50;Rotativas
31_000027586;FRESA D2XR0.5-L15 VFHVRBD0200R05N015;Rotativas
31_000027585;FRESA D3XR0.5-L15 VFHVRBD0300R05N015;Rotativas
31_000005442;FRESA DE TOPO RETO 7226-14 Ø14,0 mm;Rotativas
31_000019588;FRESA ESP. EPDBE2020-14-ATH  Ø2,0xR1,0;Rotativas
31_000019587;FRESA ESP. EPDBE2030-16-ATH  Ø3,0xR1,5;Rotativas
31_000019706;FRESA ESP. KB-MEC16-S14-11T  Ø16;Rotativas
31_000019707;FRESA ESP. KB-MEC20-S18-11T  Ø20;Rotativas
31_000008221;FRESA ESP. MP3XBR0150N034T3  Ø3,0;Rotativas
31_000006144;FRESA FTE MD 2C Ø10x22xD10x92L 88422082;Rotativas
31_000028612;FRESA HGB 2060-0900;Rotativas
31_000028613;FRESA HSLB 2004-020;Rotativas
31_000028614;FRESA HSLB 2010-040-6;Rotativas
31_000028615;FRESA HSLB 2010-060-6;Rotativas
31_000028616;FRESA HSLB 2015-060-6;Rotativas
31_000028617;FRESA HSLB 2020-060-6;Rotativas
31_000018837;FRESA HSLB 2020-080-6;Rotativas
31_000028619;FRESA HSLB 2040-080;Rotativas
31_000028621;FRESA HSLB 2060-100;Rotativas
31_000028622;FRESA SSBL200 R0.5*6;Rotativas
31_000028623;FRESA SSBL200 R1*8;Rotativas
31_000017961;FRESA T. MD. 4C. Ø12x10xD11,48 -88422079;Rotativas
31_000006149;FRESA TOPO R216.34-12050-AK26H Ø12,0mm;Rotativas
31_000020417;FRESA VF-2XLB R0100N060S06 (MITSUBISHI );Rotativas
31_000020415;FRESA VF-HVRB R10N0400012(MITSUBISHI);Rotativas
31_000028727;GAIOLA DE ROLETE 2YA04420;Outros
31_000028726;GAIOLA DE ROLETE 2YA09720/ 2YA09920;Outros
31_000009933;GRIND STONE WA120 CM55 ( 4x13x3 );Abrasivos
31_000022906;INSERTO ROSCA EXT. WT16 ER G60 WN2020;Insertos
31_000026595;INSERTO SCMT 120408-MK MC5005;Insertos
31_000025840;INSERTO TQC 27 3.00 0,4 TT9080;Insertos
31_000024799;INSERTO WDXT 073506 - H ACK300;Insertos
31_000018942;INSERTO XNEX 080608 TR - M13 MP2500;Insertos
31_000028817;LOGOTIPO 2YA03320-FI-011-CT;Logotipo
31_000026022;MACHO MAQ. M10x1,25 5HX RETO ALTIN MT;Rotativas
31_000005133;PORTA FERR. MGCH 06;Porta Ferramentas
31_000019425;PORTA FERR.GHIR 20 - 3;Porta Ferramentas
31_000028090;REBOLO COPO Ø 101,6X50,8X31,8 AA80K6V2;Abrasivos
31_000002608;"SERRA FITA 1""x4-6x4,46M M-42";Serra e Lima
31_000028467;SHAVING 20 CS 17/1;Shaving
31_000001288;REBOLO ESP. 350x50x127 99A46J6V51;Abrasivos
31_003004652;"BEDAME RETO 1/2"" x 1/8"" x 4.1/2"" 10% Co";Outros
31_003061148;"BITS DE ACO QUADRADO 5/8''x5""";Outros
31_003002551;"BITS QUADRADO 1/2X4""";Outros
31_000028780;BROCHA 23BE 18/3;Brocha
31_003095777;DISCO DE CORTE DTD Ø150x1,5x6xF 32mm;Abrasivos
31_000005753;DRESSADOR CAB/SEXT. CT-8x40;Dressadores
31_000020587;INSERTO JOMW 06T215ZZSR-FT VP15TF;Insertos
